loading data...completed 0.08935141563415527 sec
Epoch: [0][0/17]	Time 0.195 (0.195)	Loss 0.9805 (0.9805)
Epoch: [0][1/17]	Time 0.090 (0.143)	Loss 1.8223 (1.4014)
Epoch: [0][2/17]	Time 0.077 (0.121)	Loss 1.0123 (1.2717)
Epoch: [0][3/17]	Time 0.010 (0.093)	Loss 1.1108 (1.2315)
Epoch: [0][4/17]	Time 0.009 (0.076)	Loss 1.4557 (1.2763)
Epoch: [0][5/17]	Time 0.009 (0.065)	Loss 1.2715 (1.2755)
Epoch: [0][6/17]	Time 0.011 (0.057)	Loss 1.0374 (1.2415)
Epoch: [0][7/17]	Time 0.013 (0.052)	Loss 0.9871 (1.2097)
Epoch: [0][8/17]	Time 0.009 (0.047)	Loss 1.1981 (1.2084)
Epoch: [0][9/17]	Time 0.012 (0.043)	Loss 1.2629 (1.2138)
Epoch: [0][10/17]	Time 0.013 (0.041)	Loss 1.0860 (1.2022)
Epoch: [0][11/17]	Time 0.008 (0.038)	Loss 0.9872 (1.1843)
Epoch: [0][12/17]	Time 0.010 (0.036)	Loss 0.8178 (1.1561)
Epoch: [0][13/17]	Time 0.009 (0.034)	Loss 1.0053 (1.1453)
Epoch: [0][14/17]	Time 0.009 (0.032)	Loss 0.9748 (1.1340)
Epoch: [0][15/17]	Time 0.011 (0.031)	Loss 1.0900 (1.1312)
Epoch: [0][16/17]	Time 0.040 (0.031)	Loss 0.8653 (1.1203)
Epoch end: [0]	Time 0.533	Loss 1.1203
Train loss score [0]: tensor(1.1203)
Pred  Val: [0][0/3]	Time 0.009 (0.009)	Loss 1.0341 (1.0341)
Pred  Val: [0][1/3]	Time 0.010 (0.010)	Loss 0.9884 (1.0113)
Pred  Val: [0][2/3]	Time 0.013 (0.011)	Loss 0.9109 (1.0071)
Pred  Val end: [0]	Time 0.032	Loss 1.0071
Val loss score [0]: tensor(1.0071) <-Best
Epoch: [1][0/17]	Time 0.010 (0.010)	Loss 0.8664 (0.8664)
Epoch: [1][1/17]	Time 0.007 (0.008)	Loss 0.8556 (0.8610)
Epoch: [1][2/17]	Time 0.008 (0.008)	Loss 0.9054 (0.8758)
Epoch: [1][3/17]	Time 0.009 (0.008)	Loss 0.9212 (0.8871)
Epoch: [1][4/17]	Time 0.008 (0.008)	Loss 0.9500 (0.8997)
Epoch: [1][5/17]	Time 0.008 (0.008)	Loss 0.8597 (0.8930)
Epoch: [1][6/17]	Time 0.007 (0.008)	Loss 0.8317 (0.8843)
Epoch: [1][7/17]	Time 0.008 (0.008)	Loss 0.7449 (0.8669)
Epoch: [1][8/17]	Time 0.011 (0.008)	Loss 0.8221 (0.8619)
Epoch: [1][9/17]	Time 0.007 (0.008)	Loss 0.9814 (0.8739)
Epoch: [1][10/17]	Time 0.007 (0.008)	Loss 0.8569 (0.8723)
Epoch: [1][11/17]	Time 0.007 (0.008)	Loss 0.9136 (0.8758)
Epoch: [1][12/17]	Time 0.011 (0.008)	Loss 0.7969 (0.8697)
Epoch: [1][13/17]	Time 0.007 (0.008)	Loss 0.8787 (0.8703)
Epoch: [1][14/17]	Time 0.007 (0.008)	Loss 0.8487 (0.8689)
Epoch: [1][15/17]	Time 0.009 (0.008)	Loss 0.8811 (0.8696)
Epoch: [1][16/17]	Time 0.006 (0.008)	Loss 0.8434 (0.8686)
Epoch end: [1]	Time 0.136	Loss 0.8686
Train loss score [1]: tensor(0.8686)
Pred  Val: [1][0/3]	Time 0.005 (0.005)	Loss 0.9399 (0.9399)
Pred  Val: [1][1/3]	Time 0.006 (0.005)	Loss 0.8847 (0.9123)
Pred  Val: [1][2/3]	Time 0.001 (0.004)	Loss 0.7880 (0.9072)
Pred  Val end: [1]	Time 0.012	Loss 0.9072
Val loss score [1]: tensor(0.9072) <-Best
Epoch: [2][0/17]	Time 0.014 (0.014)	Loss 0.8929 (0.8929)
Epoch: [2][1/17]	Time 0.007 (0.010)	Loss 0.7060 (0.7995)
Epoch: [2][2/17]	Time 0.007 (0.009)	Loss 0.8543 (0.8178)
Epoch: [2][3/17]	Time 0.007 (0.008)	Loss 0.6946 (0.7870)
Epoch: [2][4/17]	Time 0.007 (0.008)	Loss 0.8890 (0.8074)
Epoch: [2][5/17]	Time 0.007 (0.008)	Loss 0.8434 (0.8134)
Epoch: [2][6/17]	Time 0.008 (0.008)	Loss 0.8253 (0.8151)
Epoch: [2][7/17]	Time 0.010 (0.008)	Loss 0.8212 (0.8158)
Epoch: [2][8/17]	Time 0.007 (0.008)	Loss 0.7545 (0.8090)
Epoch: [2][9/17]	Time 0.010 (0.008)	Loss 0.7961 (0.8077)
Epoch: [2][10/17]	Time 0.007 (0.008)	Loss 0.8086 (0.8078)
Epoch: [2][11/17]	Time 0.010 (0.008)	Loss 0.8050 (0.8076)
Epoch: [2][12/17]	Time 0.007 (0.008)	Loss 0.8019 (0.8071)
Epoch: [2][13/17]	Time 0.007 (0.008)	Loss 0.8399 (0.8095)
Epoch: [2][14/17]	Time 0.007 (0.008)	Loss 0.7749 (0.8072)
Epoch: [2][15/17]	Time 0.008 (0.008)	Loss 0.6780 (0.7991)
Epoch: [2][16/17]	Time 0.006 (0.008)	Loss 0.8383 (0.8007)
Epoch end: [2]	Time 0.135	Loss 0.8007
Train loss score [2]: tensor(0.8007)
Pred  Val: [2][0/3]	Time 0.004 (0.004)	Loss 0.8211 (0.8211)
Pred  Val: [2][1/3]	Time 0.004 (0.004)	Loss 0.9051 (0.8631)
Pred  Val: [2][2/3]	Time 0.001 (0.003)	Loss 1.2619 (0.8795)
Pred  Val end: [2]	Time 0.010	Loss 0.8795
Val loss score [2]: tensor(0.8795) <-Best
Epoch: [3][0/17]	Time 0.008 (0.008)	Loss 0.8861 (0.8861)
Epoch: [3][1/17]	Time 0.007 (0.008)	Loss 0.7364 (0.8112)
Epoch: [3][2/17]	Time 0.007 (0.007)	Loss 0.8338 (0.8187)
Epoch: [3][3/17]	Time 0.008 (0.007)	Loss 0.7844 (0.8102)
Epoch: [3][4/17]	Time 0.007 (0.007)	Loss 0.9002 (0.8282)
Epoch: [3][5/17]	Time 0.007 (0.007)	Loss 0.7066 (0.8079)
Epoch: [3][6/17]	Time 0.006 (0.007)	Loss 0.7341 (0.7974)
Epoch: [3][7/17]	Time 0.007 (0.007)	Loss 0.6881 (0.7837)
Epoch: [3][8/17]	Time 0.008 (0.007)	Loss 0.7028 (0.7747)
Epoch: [3][9/17]	Time 0.007 (0.007)	Loss 0.7044 (0.7677)
Epoch: [3][10/17]	Time 0.007 (0.007)	Loss 0.6428 (0.7563)
Epoch: [3][11/17]	Time 0.007 (0.007)	Loss 0.7402 (0.7550)
Epoch: [3][12/17]	Time 0.007 (0.007)	Loss 0.8172 (0.7598)
Epoch: [3][13/17]	Time 0.011 (0.008)	Loss 0.7297 (0.7576)
Epoch: [3][14/17]	Time 0.008 (0.008)	Loss 0.7784 (0.7590)
Epoch: [3][15/17]	Time 0.011 (0.008)	Loss 0.8002 (0.7616)
Epoch: [3][16/17]	Time 0.010 (0.008)	Loss 0.6773 (0.7581)
Epoch end: [3]	Time 0.135	Loss 0.7581
Train loss score [3]: tensor(0.7581)
Pred  Val: [3][0/3]	Time 0.005 (0.005)	Loss 0.8119 (0.8119)
Pred  Val: [3][1/3]	Time 0.005 (0.005)	Loss 0.7003 (0.7561)
Pred  Val: [3][2/3]	Time 0.002 (0.004)	Loss 0.9318 (0.7633)
Pred  Val end: [3]	Time 0.012	Loss 0.7633
Val loss score [3]: tensor(0.7633) <-Best
Epoch: [4][0/17]	Time 0.009 (0.009)	Loss 0.6497 (0.6497)
Epoch: [4][1/17]	Time 0.006 (0.008)	Loss 0.7874 (0.7186)
Epoch: [4][2/17]	Time 0.007 (0.007)	Loss 0.6858 (0.7077)
Epoch: [4][3/17]	Time 0.008 (0.008)	Loss 0.7303 (0.7133)
Epoch: [4][4/17]	Time 0.007 (0.008)	Loss 0.6927 (0.7092)
Epoch: [4][5/17]	Time 0.007 (0.007)	Loss 0.6805 (0.7044)
Epoch: [4][6/17]	Time 0.007 (0.007)	Loss 0.7418 (0.7097)
Epoch: [4][7/17]	Time 0.007 (0.007)	Loss 0.6596 (0.7035)
Epoch: [4][8/17]	Time 0.006 (0.007)	Loss 0.6731 (0.7001)
